pontoId,lat,lon,lat_pred,lon_pred,erro_loc
2540,-8.065119,-34.901386,-8.07320065672,-34.8957293043,1089.78893772
302,-8.075984,-34.896126,-8.07365267164,-34.8943724565,322.237421816
837,-8.072806,-34.890656,-8.06859010448,-34.8926537826,515.645171484
2298,-8.066499,-34.896774,-8.07546073134,-34.8946438261,1018.56483141
1481,-8.069892,-34.895988,-8.06840929851,-34.8927442391,393.352664682
1263,-8.070678,-34.892811,-8.06804768657,-34.8931060652,292.715003227
707,-8.07344,-34.900566,-8.07229662687,-34.8960006739,518.85194341
1342,-8.070411,-34.900913,-8.07184461194,-34.8957293043,592.958931111
516,-8.074647,-34.890316,-8.0750991194,-34.894462913,459.812394147
2412,-8.065809,-34.890656,-8.06488358209,-34.8916587609,150.638363005
848,-8.072757,-34.895153,-8.07446629851,-34.8947342826,194.59415385
1321,-8.070479,-34.897041,-8.06840929851,-34.8927442391,526.023498496
850,-8.072744,-34.900646,-8.07274864179,-34.8955483913,561.877290648
1928,-8.068686,-34.897308,-8.06822849254,-34.8938297174,386.717537801
78,-8.077242,-34.898445,-8.07555113433,-34.8947342826,449.728202842
1704,-8.069288,-34.888081,-8.06705325373,-34.8900305435,327.50910589
1566,-8.069649,-34.889477,-8.06642043284,-34.8896687174,357.691874742
2273,-8.066679,-34.896652,-8.0647931791,-34.8945533696,311.463233943
2300,-8.066477,-34.895439,-8.06497398507,-34.894462913,198.008029971
1049,-8.072007,-34.89716,-8.06877091045,-34.8929251522,588.199138161
1517,-8.069779,-34.890491,-8.0672340597,-34.8930156087,395.798898773
2105,-8.067984,-34.892406,-8.06578761194,-34.8943724565,325.55827553
440,-8.075313,-34.89246,-8.0732910597,-34.8941915435,293.992412893
2731,-8.063602,-34.894817,-8.07247743284,-34.8949151957,981.648379607
1718,-8.069265,-34.895496,-8.06849970149,-34.8931060652,276.693073187
1878,-8.068831,-34.891151,-8.06596841791,-34.8894878043,365.838716312
2230,-8.066914,-34.893795,-8.06569720896,-34.8941915435,141.492827638
975,-8.072412,-34.892193,-8.07555113433,-34.8945533696,433.841713375
2791,-8.063063,-34.897285,-8.0757319403,-34.8946438261,1431.06065276
2347,-8.066082,-34.888832,-8.06642043284,-34.8894878043,81.4018880783
2219,-8.066977,-34.88995,-8.06623962687,-34.8894878043,96.1559404267
2184,-8.06714,-34.894188,-8.06470277612,-34.8945533696,272.539539806
2866,-8.062255,-34.88792,-8.07274864179,-34.9004330435,1802.56062463
2437,-8.065793,-34.890602,-8.06651083582,-34.8967243261,679.489882722
159,-8.07665,-34.899654,-8.07347186567,-34.8948247391,637.874331066
1503,-8.069826,-34.890423,-8.06651083582,-34.8903923696,366.659944131
868,-8.072676,-34.890652,-8.06849970149,-34.8926537826,511.878631292
2192,-8.067104,-34.892494,-8.0721158209,-34.8952770217,633.510313668
854,-8.072737,-34.896683,-8.07582234328,-34.8945533696,414.16953898
2354,-8.066019,-34.896519,-8.06633002985,-34.8941915435,258.84079978
1534,-8.069736,-34.897972,-8.06831889552,-34.8931060652,558.775610953
2520,-8.065314,-34.901356,-8.07365267164,-34.8957293043,1111.37167293
2846,-8.062387,-34.901558,-8.07184461194,-34.8960006739,1212.14314321
2688,-8.063877,-34.885971,-8.07066937313,-34.8969956957,1428.6442917
1470,-8.069917,-34.900837,-8.071483,-34.8957293043,589.029444818
1019,-8.072206,-34.892281,-8.06614922388,-34.8895782609,733.114376967
2137,-8.067663,-34.890396,-8.06614922388,-34.8895782609,190.139756462
1174,-8.071078,-34.891815,-8.07527992537,-34.894462913,548.767174388
2631,-8.064244,-34.90147,-8.07410468657,-34.8952770217,1286.57544674
2310,-8.06638,-34.89687,-8.07555113433,-34.8946438261,1043.55128197
222,-8.076383,-34.899742,-8.07437589552,-34.896543413,416.618750102
487,-8.074892,-34.9002,-8.0732910597,-34.8960911304,486.273247956
743,-8.07321,-34.896385,-8.06859010448,-34.8927442391,649.695309699
2733,-8.0636,-34.895966,-8.0732910597,-34.8951865652,1075.23172452
2838,-8.062428,-34.901497,-8.07301985075,-34.8950056522,1372.65177791
1972,-8.068586,-34.889378,-8.06750526866,-34.8902114565,150.750893085
1828,-8.068959,-34.889622,-8.06651083582,-34.8896687174,270.806493443
2889,-8.061551,-34.902473,-8.07301985075,-34.8951865652,1501.30370215
2596,-8.06464,-34.897049,-8.0757319403,-34.8946438261,1255.04557163
2683,-8.063899,-34.88596,-8.07184461194,-34.8978098043,1574.23692596
70,-8.077295,-34.898602,-8.07537032836,-34.8946438261,485.438637337
2614,-8.064413,-34.897125,-8.07582234328,-34.8947342826,1289.0516667
637,-8.073983,-34.900448,-8.07410468657,-34.8959102174,500.350408733
2092,-8.068036,-34.900261,-8.0750991194,-34.8946438261,996.767167318
128,-8.076888,-34.897411,-8.07555113433,-34.8945533696,347.951188563
127,-8.076911,-34.899551,-8.07383347761,-34.8963625,489.244977315
1964,-8.068602,-34.89711,-8.07428549254,-34.8945533696,688.851061715
2187,-8.067128,-34.900955,-8.0696749403,-34.8934678913,872.01343924
927,-8.07253,-34.896248,-8.07555113433,-34.8946438261,378.027126208
1178,-8.071036,-34.895786,-8.07537032836,-34.8946438261,495.616349972
1763,-8.069149,-34.900532,-8.07021735821,-34.8951865652,600.928407641
