pontoId,lat,lon,lat_pred,lon_pred,erro_loc
2540,-8.065119,-34.901386,-8.0732910597,-34.8993475652,931.308327582
302,-8.075984,-34.896126,-8.07247743284,-34.8941915435,442.563600945
837,-8.072806,-34.890656,-8.06949413433,-34.8922015,403.955884298
2298,-8.066499,-34.896774,-8.07401428358,-34.8948247391,858.482713484
1481,-8.069892,-34.895988,-8.06895171642,-34.8931965217,324.787747835
1263,-8.070678,-34.892811,-8.06913252239,-34.894101087,222.34108463
707,-8.07344,-34.900566,-8.07301985075,-34.9002521304,57.931364447
1342,-8.070411,-34.900913,-8.07256783582,-34.900342587,246.684640971
516,-8.074647,-34.890316,-8.07401428358,-34.8934678913,354.388880861
2412,-8.065809,-34.890656,-8.06144826866,-34.8906637391,482.280751659
848,-8.072757,-34.895153,-8.0721158209,-34.8945533696,96.9373885067
1321,-8.070479,-34.897041,-8.06895171642,-34.8931060652,465.456239174
850,-8.072744,-34.900646,-8.07256783582,-34.8989857391,184.034270028
1928,-8.068686,-34.897308,-8.0672340597,-34.8949151957,308.784652045
78,-8.077242,-34.898445,-8.07473750746,-34.8955483913,422.678074828
1704,-8.069288,-34.888081,-8.06849970149,-34.8877691304,93.7151459001
1566,-8.069649,-34.889477,-8.06777647761,-34.8886736957,225.228494763
2273,-8.066679,-34.896652,-8.06551640299,-34.8950056522,222.404249541
2300,-8.066477,-34.895439,-8.06614922388,-34.894462913,113.532526957
1049,-8.072007,-34.89716,-8.07175420896,-34.8940106304,348.259773538
1517,-8.069779,-34.890491,-8.06696285075,-34.894282,521.165371101
2105,-8.067984,-34.892406,-8.07094058209,-34.8952770217,455.044307806
440,-8.075313,-34.89246,-8.07220622388,-34.8935583478,364.301648903
2731,-8.063602,-34.894817,-8.07130219403,-34.8978098043,913.271517623
1718,-8.069265,-34.895496,-8.06958453731,-34.8936488043,206.650476793
1878,-8.068831,-34.891151,-8.06614922388,-34.8892164348,365.292129482
2230,-8.066914,-34.893795,-8.06633002985,-34.8957293043,222.77659016
975,-8.072412,-34.892193,-8.07437589552,-34.8943724565,323.859073408
2791,-8.063063,-34.897285,-8.0750991194,-34.8952770217,1349.42314882
2347,-8.066082,-34.888832,-8.06687244776,-34.8877691304,146.176857114
2219,-8.066977,-34.88995,-8.0672340597,-34.8884023261,172.945375148
2184,-8.06714,-34.894188,-8.06470277612,-34.8953674783,299.262618367
2866,-8.062255,-34.88792,-8.06587801493,-34.906765,2115.5025746
2437,-8.065793,-34.890602,-8.06388914925,-34.8996189348,1015.95754857
159,-8.07665,-34.899654,-8.07311025373,-34.8975384348,455.668003168
1503,-8.069826,-34.890423,-8.06768607463,-34.8896687174,250.846314021
868,-8.072676,-34.890652,-8.0690421194,-34.8919301304,425.870414948
2192,-8.067104,-34.892494,-8.07021735821,-34.8981716304,714.286356148
854,-8.072737,-34.896683,-8.0750991194,-34.8945533696,351.208726717
2354,-8.066019,-34.896519,-8.07066937313,-34.8951865652,534.872215876
1534,-8.069736,-34.897972,-8.06831889552,-34.894282,435.880277404
2520,-8.065314,-34.901356,-8.07428549254,-34.8992571087,1018.82693398
2846,-8.062387,-34.901558,-8.07057897015,-34.8998903043,924.460485553
2688,-8.063877,-34.885971,-8.06768607463,-34.9037799348,2007.69381143
1470,-8.069917,-34.900837,-8.07112138806,-34.8988952826,252.088976311
1019,-8.072206,-34.892281,-8.06696285075,-34.890121,626.846210913
2137,-8.067663,-34.890396,-8.06714365672,-34.8893068913,133.080281304
1174,-8.071078,-34.891815,-8.0732910597,-34.8938297174,330.485206334
2631,-8.064244,-34.90147,-8.07347186567,-34.8979002609,1093.79031935
2310,-8.06638,-34.89687,-8.07428549254,-34.8947342826,905.454238085
