pontoId,lat,lon,lat_pred,lon_pred,erro_loc
853,-8.072738,-34.896675,-8.074440291376602,-34.89743892941217,206.23909917
495,-8.07481,-34.890869,-8.069953179316634,-34.89233891972277,561.049104538
2765,-8.063375,-34.888794,-8.067522878180013,-34.89139593854745,541.014020226
913,-8.072556,-34.891972,-8.071429165968796,-34.89252615093026,138.787141143
321,-8.075891,-34.89616,-8.070119391759027,-34.8957540887113,639.883881998
1078,-8.071801,-34.892166,-8.070762032269121,-34.888240730918476,447.657475622
2308,-8.066401,-34.893074,-8.063330015414348,-34.89686989579562,538.904368703
1757,-8.069173,-34.88818,-8.066811546607656,-34.89142209441612,442.622273577
1741,-8.06922,-34.889549,-8.068162657879059,-34.8886139370164,155.875955819
2141,-8.067605,-34.893211,-8.067457312660164,-34.894834025309194,179.642168897
2863,-8.062281,-34.887882,-8.066656855827874,-34.893476640181376,783.898811067
187,-8.076449,-34.899715,-8.072068874877633,-34.89756520268601,539.274161873
1040,-8.072079,-34.892063,-8.071885458326204,-34.89312837010915,119.364112115
1056,-8.071979,-34.89204,-8.073008715146793,-34.8940086721295,245.062835267
2577,-8.064881,-34.897038,-8.06749145194318,-34.89835227879161,323.013211752
302,-8.075984,-34.896126,-8.072023240670994,-34.89620382679316,438.128850526
1774,-8.069136,-34.888248,-8.06677763132493,-34.889185516170926,280.551485832
647,-8.07391,-34.890396,-8.072544796691435,-34.889948755021514,158.830222232
405,-8.075457,-34.896286,-8.07131113576146,-34.89460447050487,494.560428007
1898,-8.068765,-34.896202,-8.070294673026092,-34.89725575443893,205.2102126
101,-8.077086,-34.899464,-8.07123271117415,-34.89762607358231,678.309232984
141,-8.076802,-34.899574,-8.07290674926398,-34.89761812189766,481.73076446
122,-8.076941,-34.899525,-8.071389057277214,-34.896164210228235,717.111443145
1707,-8.069283,-34.900566,-8.067671933520906,-34.897054113804415,426.135415964
2808,-8.062858,-34.897293,-8.068292967019152,-34.90017890508383,680.068238803
1748,-8.069194,-34.891335,-8.06828164430837,-34.888183390190285,361.743028265
2354,-8.066019,-34.896519,-8.066646370023152,-34.89617430013026,79.1064643177
1465,-8.069939,-34.894203,-8.068956922043654,-34.89537914985922,169.126264291
234,-8.07634,-34.895985,-8.069420044905781,-34.89423887249734,789.150280649
901,-8.07258,-34.896717,-8.074791161884862,-34.898391931003715,306.408323026
541,-8.074502,-34.900291,-8.071287955311648,-34.898489392371566,407.168834642
409,-8.075452,-34.892868,-8.070158398903406,-34.89351399323178,589.766108008
173,-8.076538,-34.899693,-8.071326730290407,-34.896138324786804,696.913877946
494,-8.074819,-34.900215,-8.069986271684542,-34.89869857528746,560.007151841
1226,-8.07079,-34.892605,-8.070129287803303,-34.89199605385662,99.2206257977
1975,-8.068583,-34.896469,-8.069700823171452,-34.89832229970372,238.775300714
195,-8.076431,-34.895683,-8.071759143244046,-34.89507353145867,521.038290466
2733,-8.0636,-34.895966,-8.0675612726438,-34.89752733317399,470.691945813
2212,-8.066996,-34.893829,-8.064221350843376,-34.893498168685845,309.024590416
2144,-8.067559,-34.893311,-8.067457857110444,-34.8952871331491,218.106458085
1930,-8.068676,-34.897205,-8.067099876934547,-34.89830562058224,212.373756192
2155,-8.067385,-34.896763,-8.068390422222128,-34.90169118289649,554.473017852
1362,-8.070318,-34.89727,-8.070484717809762,-34.89726515554479,18.4460805255
677,-8.073727,-34.900501,-8.071155293303608,-34.90002648922856,289.189897676
1403,-8.070107,-34.889618,-8.069037689081352,-34.88968186064244,118.470978193
1404,-8.070104,-34.889866,-8.070434535733172,-34.89019053807244,51.1466051329
1444,-8.069985,-34.890697,-8.073066805746592,-34.89322538087831,440.268371759
2888,-8.061568,-34.902393,-8.068731572320399,-34.89548955906709,1098.50169024
3,-8.077567,-34.899223,-8.0729677117083,-34.901833880665066,584.427571613
1207,-8.070848,-34.900864,-8.068137116074816,-34.89584285777697,629.442884061
2725,-8.063645,-34.886196,-8.067567395880802,-34.889854878072924,592.31454949
301,-8.075993,-34.894455,-8.072004538185666,-34.89517385503117,448.16845289
2673,-8.063934,-34.885902,-8.068836458789352,-34.89100471960043,781.231319393
891,-8.072604,-34.894436,-8.075350159945154,-34.896132937691874,356.689547939
2665,-8.063993,-34.89447,-8.066562568698354,-34.8955805016488,309.425167786
1113,-8.071494,-34.895386,-8.070942822758207,-34.89790774589915,284.562881335
2827,-8.062628,-34.901375,-8.067012757337785,-34.89454216416437,895.771318193
1356,-8.070341,-34.893436,-8.068481989054208,-34.895224786582126,284.862149677
1628,-8.069507,-34.89502,-8.06895315376382,-34.89481456847066,65.3046366612
1328,-8.070457,-34.89706,-8.072150602134482,-34.89587062472,228.626603482
2855,-8.062371,-34.887772,-8.066062281288108,-34.89122370845976,558.047382032
65,-8.077327,-34.898586,-8.073959760957253,-34.90156483789329,496.476754188
1283,-8.070611,-34.896862,-8.072076723811147,-34.89705424971576,163.482608968
1104,-8.071577,-34.892117,-8.072893578597505,-34.88835045050815,439.95735493
178,-8.076507,-34.899704,-8.071753716226933,-34.897042167842365,602.026922056
2544,-8.065085,-34.885742,-8.06790753943491,-34.890629033315584,622.587980551
2137,-8.067663,-34.890396,-8.069239700984246,-34.890023580447526,179.143664649
1085,-8.071756,-34.89217,-8.070875160054117,-34.889469026534584,313.245486359
1560,-8.06966,-34.890625,-8.067161698574044,-34.893279178844395,402.408173377
1730,-8.069236,-34.89135,-8.069054801842546,-34.88873362271499,289.084650352
371,-8.0756,-34.893547,-8.071376200972779,-34.893903744429956,468.788082448
1966,-8.068594,-34.898624,-8.06982040995046,-34.89936181449892,158.148643579
938,-8.072496,-34.89674,-8.074603719982306,-34.89757047580744,250.434604187
1600,-8.06957,-34.890755,-8.069163751558234,-34.89276519379561,226.082160484
2941,-8.059775,-34.906284,-8.066147811192769,-34.894020862864366,1524.43509365
975,-8.072412,-34.892193,-8.072047929267738,-34.89404960545602,208.56568352
2879,-8.06187,-34.901951,-8.067448617787049,-34.89339072688342,1127.37222461
2579,-8.06484,-34.893227,-8.065002207468856,-34.89558351037208,260.366939417
2534,-8.065175,-34.893002,-8.065591871030241,-34.89365407530512,85.3913656183
2338,-8.066161,-34.893513,-8.06660811824649,-34.893007303742095,74.5135452706
2372,-8.065868,-34.893612,-8.065649786807235,-34.89499386767786,154.217161365
686,-8.073659,-34.893925,-8.07289786138362,-34.89738849580693,390.929385925
2259,-8.066758,-34.89563,-8.064704357531491,-34.89790659741448,338.461549628
1420,-8.070049,-34.893997,-8.068317544764525,-34.894628351365775,203.745261688
2660,-8.064007,-34.894501,-8.06664223699273,-34.895674654625395,318.868555224
590,-8.074231,-34.900223,-8.074375741989924,-34.90286229841305,291.35209847
2051,-8.06833,-34.889885,-8.066699340229485,-34.88834167962236,247.916323003
1981,-8.068574,-34.891171,-8.06695846979605,-34.89290133281176,261.342419676
125,-8.076917,-34.899548,-8.071514287408972,-34.897866410103326,625.607038601
